identifier,title,date,year,creator,mediatype,item_url,metadata_url
cochwy-City_Council_Meeting_5_29_18,City Council Meeting (5/29/18),2018-05-30T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_5_29_18,https://archive.org/metadata/cochwy-City_Council_Meeting_5_29_18
cochwy-Safety_tips_when_smoking_on_a_deck,Safety tips when smoking on a deck,2018-06-01T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Safety_tips_when_smoking_on_a_deck,https://archive.org/metadata/cochwy-Safety_tips_when_smoking_on_a_deck
cochwy-Cheyenne_Ice_Events_Center_Bumper_Cars,Cheyenne Ice & Events Center Bumper Cars,2018-06-26T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Cheyenne_Ice_Events_Center_Bumper_Cars,https://archive.org/metadata/cochwy-Cheyenne_Ice_Events_Center_Bumper_Cars
cochwy-City_Council_Meeting_part_3_6_25_18,City Council Meeting part 3 (6/25/18),2018-07-03T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_part_3_6_25_18,https://archive.org/metadata/cochwy-City_Council_Meeting_part_3_6_25_18
cochwy-City_Council_Meeting_part_1_6_25_18,City Council Meeting part 1 (6/25/18),2018-07-03T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_part_1_6_25_18,https://archive.org/metadata/cochwy-City_Council_Meeting_part_1_6_25_18
cochwy-City_Council_Meeting_6_11_18,City Council Meeting (6/11/18),2018-07-03T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_6_11_18,https://archive.org/metadata/cochwy-City_Council_Meeting_6_11_18
cochwy-City_Council_Meeting_part_2_6_25_18,City Council Meeting part 2 (6/25/18),2018-07-03T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_part_2_6_25_18,https://archive.org/metadata/cochwy-City_Council_Meeting_part_2_6_25_18
cochwy-Take_a_tour_of_new_Engine_2,Take a tour of new Engine #2,2018-07-05T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-Take_a_tour_of_new_Engine_2,https://archive.org/metadata/cochwy-Take_a_tour_of_new_Engine_2
cochwy-City_Council_Meeting_part_1_7_09_18,City Council Meeting part 1 (7/09/18),2018-07-10T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_part_1_7_09_18,https://archive.org/metadata/cochwy-City_Council_Meeting_part_1_7_09_18
cochwy-City_Council_Meeting_part_2_7_09_18,City Council Meeting part 2 (7/09/18),2018-07-10T00:00:00Z,2018,Cheyenne,movies,https://archive.org/details/cochwy-City_Council_Meeting_part_2_7_09_18,https://archive.org/metadata/cochwy-City_Council_Meeting_part_2_7_09_18
